"game.id","home.id","away.id","home.score","away.score","neutral","ot"
"401574425","2110","91","59","57",0,""
"401574440","2198","91","82","70",0,""
"401574527","91","2454","63","71",0,""
"401575338","91","294","69","63",0,""
"401574516","338","91","95","96",0,"OT"
"401574540","2511","91","85","75",0,""
"401575339","91","56","77","84",0,""
"401575340","526","91","63","52",0,""
"401574447","91","2198","65","75",0,""
"401574434","91","2110","68","65",0,""
"401575341","91","2453","82","70",0,""
"401593942","288","91","90","74",0,""
"401574207","202","2110","70","53",0,""
"401574409","2110","2029","83","85",0,""
"401574410","238","2110","75","71",0,""
"401574411","2546","2110","70","68",0,""
"401574412","2306","2110","100","56",0,""
"401574413","2110","2199","71","74",0,""
"401574414","2110","2443","74","79",0,""
"401574415","2351","2110","90","63",0,""
"401574416","62","2110","95","76",0,""
"401574417","2110","2031","75","71",0,""
"401574418","2197","2110","70","73",0,""
"401574419","2110","2710","54","65",0,""
"401574420","201","2110","88","72",0,""
"401574421","142","2110","92","59",0,""
"401574423","2453","2110","81","84",0,""
"401574424","2110","2198","63","86",0,""
"401574426","288","2110","86","96",0,""
"401574427","2511","2110","96","79",0,""
"401574428","2110","338","92","87",0,""
"401574429","2110","526","59","82",0,""
"401574430","2110","56","62","73",0,"OT"
"401574431","294","2110","59","55",0,""
"401574432","2454","2110","77","79",0,""
"401574433","2110","288","68","85",0,""
"401574435","2198","2110","95","82",0,""
"401574436","2110","2453","78","82",0,""
"401604762","2198","2630","74","80",0,""
"401598018","2198","2504","64","76",0,""
"401591570","2198","2653","77","76",0,""
"401598955","98","2198","79","69",0,""
"401594572","2430","2198","87","85",0,"OT"
"401600454","309","2198","73","62",0,""
"401594234","2198","94","75","85",0,""
"401591574","2653","2198","88","81",0,""
"401591435","333","2198","111","67",0,""
"401577646","2509","2198","80","53",0,""
"401574438","2198","288","80","72",0,""
"401574439","2453","2198","72","81",0,""
"401574441","2198","294","75","59",0,""
"401574442","2198","2454","89","76",0,""
"401574443","2511","2198","94","76",0,""
"401574444","338","2198","76","86",0,""
"401574445","2198","526","90","82",0,""
"401574446","56","2198","87","79",0,""
"401600253","2198","2130","86","73",0,""
"401574448","2198","2453","75","72",0,""
"401574509","288","2198","81","67",0,""
"401625655","2198","294","65","67",0,""
"401577612","84","526","69","63",0,""
"401577699","2623","526","70","61",1,""
"401582126","2261","526","92","85",1,""
"401582149","2450","526","69","66",1,""
"401593870","526","350","55","71",0,""
"401593871","2229","526","65","68",0,""
"401593872","2132","526","99","62",0,""
"401600443","135","526","77","57",0,""
"401597992","2382","526","70","65",0,""
"401594622","290","526","42","53",0,""
"401601144","526","2226","72","68",0,""
"401593874","526","294","80","70",0,""
"401574524","526","2454","58","78",0,""
"401574536","2511","526","78","75",0,""
"401574512","338","526","78","75",0,""
"401593875","526","56","80","56",0,""
"401593876","526","288","72","98",0,""
"401587123","2453","526","70","69",0,""
"401593877","56","526","61","60",0,""
"401574520","526","338","67","74",0,""
"401574544","526","2511","90","81",0,""
"401574532","2454","526","60","79",0,""
"401593889","294","526","57","59",0,""
"401625650","526","2511","63","69",0,""
"401577606","2752","294","79","56",0,""
"401594619","294","290","85","68",0,""
"401599987","2523","294","65","74",0,""
"401587227","161","294","90","91",1,""
"401596809","294","2097","62","48",0,""
"401594620","290","294","79","81",0,""
"401575465","2116","294","94","52",0,""
"401599988","2569","294","86","85",0,"OT"
"401581867","294","2433","75","65",0,""
"401577645","2509","294","100","57",0,""
"401599991","56","294","71","55",0,""
"401574525","2454","294","82","74",0,""
"401574538","294","2511","79","77",0,""
"401574514","294","338","79","83",0,""
"401593941","288","294","84","82",0,""
"401587124","294","2453","67","63",0,""
"401574518","338","294","66","61",0,""
"401574542","2511","294","74","65",0,""
"401599993","294","2454","62","50",0,""
"401599994","294","56","73","86",0,""
"401625651","338","294","86","92",0,""
"401625657","56","294","88","87",0,""
"401593911","290","338","92","96",1,""
"401593912","111","338","77","79",1,""
"401583612","151","338","85","84",0,""
"401593913","2229","338","91","84",0,""
"401593914","338","2247","88","77",0,""
"401593915","338","2427","79","76",0,"OT"
"401593916","2908","338","77","84",0,""
"401593917","2506","338","84","94",0,""
"401593919","2427","338","79","70",0,""
"401577619","84","338","100","87",0,""
"401574510","338","2511","80","77",0,""
"401574511","338","56","88","70",0,""
"401574513","2454","338","84","75",0,""
"401574515","338","2453","84","90",0,""
"401574517","288","338","101","95",0,""
"401574519","338","2454","81","82",0,""
"401574521","56","338","84","72",0,""
"401574522","2511","338","91","82",0,""
"401577582","2724","288","76","59",0,""
"401593929","2181","288","85","70",0,""
"401593931","2635","288","65","96",0,""
"401593932","288","2010","106","81",0,""
"401593934","2427","288","75","86",1,""
